"Rank","name","Team","Points","Games","Avg"
"214","Hakeem Butler","PHI","0.0","2","0.0"
"214","Kevin White","SF","0.0","2","0.0"
"214","Dan Chisena","MIN","0.0","11","0.0"
"214","Malik Turner","DAL","0.0","5","0.0"
"214","Tajae Sharpe","ATL","0.0","4","0.0"
"214","Reggie Begelton","GB","0.0","1","0.0"
"214","Matthew Slater","NE","0.0","10","0.0"
"214","Trey Quinn","LV","0.0","1","0.0"
"245","DeAndre Carter","WAS","-0.2","12","-0.0"
"246","Dede Westbrook","JAC","-0.6","2","-0.3"
"247","Kendall Hinton","DEN","-0.8","1","-0.8"
"248","Nsimba Webster","LAR","-2.0","15","-0.1"
"248","Dwayne Harris","CHI","-2.0","3","-0.7"
