"Rank","Player","Team","Points","Games","Avg"
"150","Dwayne Washington","NO","1.5","10","0.2"
"152","Jason Huntley","PHI","1.4","4","0.4"
"153","Senorise Perry","TEN","0.9","5","0.2"
"154","Dexter Williams","GB","0.8","3","0.3"
"155","Tony Brooks-James","ATL","0.4","1","0.4"
"156","Qadree Ollison","ATL","0.3","2","0.2"
"156","Gabe Nabers","LAC","0.3","3","0.1"
"158","Jonathan Ward","ARI","0.0","9","0.0"
"158","Adrian Killins Jr.","PHI","0.0","1","0.0"
"158","Sewo Olonilua","DAL","0.0","2","0.0"
"158","Javon Leake","WAS","0.0","1","0.0"
"158","Darius Bradwell","LAC","0.0","2","0.0"
"158","Jeremy Cox","DEN","0.0","3","0.0"
"158","Xavier Jones","LAR","0.0","9","0.0"
"158","Raymond Calais","LAR","0.0","3","0.0"
"158","Taiwan Jones","BUF","0.0","11","0.0"
"158","Trey Edmunds","PIT","0.0","3","0.0"
"158","Nathan Cottrell","JAC","0.0","7","0.0"
"158","Kenjon Barner","TB","0.0","6","0.0"
"158","Brandin Bryant","BUF","0.0","1","0.0"
"158","Derek Watt","PIT","0.0","9","0.0"
""
""
