name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD
Ross Travis,IND,TE,500,500,500,500,0,0,14,11,23,96.,3.1,1.0,3,10000.0,6,4,51,0
Codey McElroy,TB,TE,500,500,500,500,0,0,9,14,7,97.,3.0,3.0,1,10000.0,1,1,30,0
Drew Sample,CIN,TE,389,343.8,50,49.3,14,7,31,32,18,98.,3.0,0.8,4,946.94,6,5,30,0
Pharaoh Brown,CLE,TE,500,500,500,500,0,0,30,31,12,99.,2.7,0.9,3,10000.0,3,2,27,0
Tanner Hudson,TB,TE,500,500,117,93.5,0,10,9,14,7,100.,2.6,0.7,4,10000.0,5,2,26,0
Johnny Mundt,LAR,TE,500,500,108,94.8,0,10,8,15,4,101.,2.6,0.5,5,10000.0,7,4,26,0
Eric Saubert,CHI,TE,500,500,500,500,0,0,12,21,1,102.,2.1,1.1,2,10000.0,3,2,21,0
Josh Oliver,JAC,TE,500,500,500,500,0,0,10,10,14,103.,1.5,0.5,3,10000.0,6,3,15,0
Isaac Nauta,DET,TE,500,500,102,92.6,0,9,4,4,16,104.,1.3,0.7,2,10000.0,3,2,13,0
Sean Culkin,LAC,TE,500,500,500,500,0,0,11,7,29,105.,1.2,0.6,2,10000.0,2,1,12,0
Antony Auclair,TB,TE,500,500,500,500,0,0,9,14,7,106.,1.1,0.6,2,10000.0,3,1,11,0
Chris Manhertz,CAR,TE,500,500,81,75.8,0,8,2,5,3,107.,1.1,1.1,1,10000.0,1,1,11,0
Scott Simonson,NYG,TE,500,500,500,500,0,0,6,6,21,108.,1.1,0.6,2,10000.0,2,2,11,0
Levine Toilolo,NYG,TE,500,328.5,83,76.1,16,8,6,6,21,109.,1.0,0.5,2,1114.41,2,2,10,0
Ben Koyack,JAC,TE,500,500,500,500,0,0,10,10,14,110.,0.9,0.3,3,10000.0,3,1,9,0
Jordan Thomas,HOU,TE,488,343.0,80,66.4,16,8,24,28,8,111.,0.8,0.8,1,1108.14,3,1,8,0
Chris Herndon,NYJ,TE,147,153.4,20,18.5,9,4,26,23,31,112.,0.7,0.7,1,394.24,2,1,7,0
Dalton Schultz,DAL,TE,448,356.7,67,62.1,15,8,27,27,24,113.,0.6,0.3,2,1059.9,2,1,6,0
Charles Jones,JAC,TE,500,500,500,500,0,0,10,10,14,114.,0.5,0.5,1,10000.0,1,1,5,0
Tyrone Swoopes,SEA,TE,500,500,500,500,0,0,19,24,5,115.,0.5,0.5,1,10000.0,1,1,5,0
Darrell Daniels,ARI,TE,500,500,98,87.6,0,9,23,25,9,116.,0.4,0.1,3,10000.0,3,1,4,0
Zach Gentry,PIT,TE,500,500,101,86.8,0,9,22,22,11,117.,0.4,0.4,1,10000.0,1,1,4,0
Xavier Grimble,PIT,TE,500,500,500,500,0,0,22,22,11,118.,0.3,0.2,2,10000.0,3,1,3,0
Eric Tomlinson,NYG,TE,500,500,113,90.0,0,10,6,6,21,119.,0.1,0.1,1,10000.0,1,1,1,0
Jace Sternberger,GB,TE,229,231.1,30,29.1,11,5,18,17,17,120.,0.0,0.0,1,593.67,1,0,0,0
Jason Vander,NO,TE,500,500,500,500,0,0,1,1,10,121.,0.0,0.0,1,10000.0,1,0,0,0
Rob Gronkowski,TB,TE,114,120.3,13,13.5,8,3,9,14,7,0,0.0,0.0,0,301.46,0,0,0,0
Devin Asiasi,NE,TE,337,298.4,41,38.5,13,6,28,26,26,0,0.0,0.0,0,814.99,0,0,0,0
Cole Kmet,CHI,TE,355,324.4,44,45.0,14,6,12,21,1,0,0.0,0.0,0,870.54,0,0,0,0
Adam Trautman,NO,TE,392,345.6,49,51.2,14,7,1,1,10,0,0.0,0.0,0,944.96,0,0,0,0
Dalton Keene,NE,TE,399,337.4,51,50.9,14,7,28,26,26,0,0.0,0.0,0,952.93,0,0,0,0
Jordan Reed,SF,TE,402,338.4,54,50.2,14,7,5,3,20,0,0.0,0.0,0,953.53,0,0,0,0
