name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Bobo Wilson,TB,WR,500,500,500,500,0,0,2,4,5,200.,1.5,0.3,5,10000.0,11,3,35,0,0,0,0
Ryan Grant,FA,WR,500,500,220,147.5,0,12,32,32,32,201.,1.4,0.7,2,10000.0,9,4,14,0,0,0,0
Gunner Olszewski,NE,WR,454,337.5,159,133.2,15,11,20,13,29,202.,1.4,0.5,3,1058.96,4,2,34,0,0,0,0
Mike Thomas,LAR,WR,500,500,500,500,0,0,19,14,28,203.,1.4,0.5,3,10000.0,5,2,14,0,0,0,0
Cody Hollister,TEN,WR,513,351.5,214,180.6,16,12,16,22,9,204.,1.3,1.3,1,1226.54,2,2,13,0,0,0,0
Jeff Smith,NYJ,WR,500,500,233,168.0,0,13,25,26,20,205.,1.2,1.2,1,10000.0,2,1,12,0,0,0,0
John Franklin,TB,WR,500,500,500,500,0,0,2,4,5,206.,1.1,1.1,1,10000.0,0,0,0,0,1,11,0
De'Anthony Thomas,KC,WR,500,500,500,500,0,0,29,16,30,207.,1.1,0.4,3,10000.0,2,1,6,0,2,5,0
John Ursua,SEA,WR,500,500,176,159.4,0,11,3,8,3,208.,1.1,1.1,1,10000.0,1,1,11,0,0,0,0
Austin Carr,NO,WR,500,500,207,174.6,0,12,7,6,18,209.,0.9,0.5,2,10000.0,4,1,9,0,0,0,0
Dwayne Harris,LV,WR,500,500,500,500,0,0,31,27,26,210.,0.7,0.7,1,10000.0,1,1,7,0,0,0,0
Jaleel Scott,BAL,WR,500,500,216,181.4,0,12,30,25,23,211.,0.6,0.6,1,10000.0,3,1,6,0,0,0,0
Krishawn Hogan,TEN,WR,500,500,236,182.0,0,13,16,22,9,212.,0.4,0.4,1,10000.0,1,1,4,0,0,0,0
Cyril Grayson,TB,WR,500,500,500,500,0,0,2,4,5,213.,0.3,0.3,1,10000.0,1,1,3,0,0,0,0
Travis Fulgham,FA,WR,500,500,198,164.4,0,12,32,32,32,214.,0.0,0.0,2,10000.0,3,0,0,0,0,0,0
Jalen Guyton,LAC,WR,455,328.6,166,142.9,15,11,18,20,15,215.,0.0,0.0,1,1066.85,2,0,0,0,0,0,0
Lil'Jordan Humphrey,NO,WR,500,500,237,182.7,0,13,7,6,18,216.,0.0,0.0,1,10000.0,1,0,0,0,0,0,0
Taywan Taylor,CLE,WR,468,315.0,146,146.0,15,10,24,29,12,217.,0.0,0.0,1,1050.7,1,0,0,0,0,0,0
Chad Williams,IND,WR,500,500,500,500,0,0,12,23,1,218.,0.0,0.0,1,10000.0,1,0,0,0,0,0,0
Darrius Shepherd,GB,WR,500,500,223,154.0,0,12,15,17,16,219.,-1.9,-1.9,1,10000.0,2,1,1,0,0,0,0
Greg Dortch,FA,WR,500,500,228,160.5,0,13,32,32,32,220.,-2.0,-2.0,1,10000.0,0,0,0,0,0,0,0
Ray-Ray McCloud,CAR,WR,500,500,500,500,0,0,4,2,14,221.,-2.0,-2.0,1,10000.0,0,0,0,0,0,0,0
Quincy Enunwa,NYJ,WR,500,500,500,500,0,0,25,26,20,222.,-2.4,-2.4,1,10000.0,3,1,-4,0,0,0,0
Michael Walker,JAC,WR,500,500,500,500,0,0,10,9,22,223.,-2.5,-0.6,4,10000.0,3,2,15,0,0,0,0
AJ Green,CIN,WR,69,71.6,33,32.2,6,5,27,24,25,0,0.0,0.0,0,212.37,0,0,0,0,0,0,0
CeeDee Lamb,DAL,WR,101,105.9,44,45.3,8,6,5,3,13,0,0.0,0.0,0,295.88,0,0,0,0,0,0,0
Jerry Jeudy,DEN,WR,113,119.7,49,50.2,8,6,32,32,19,0,0.0,0.0,0,336.2,0,0,0,0,0,0,0
Henry Ruggs,LV,WR,120,125.4,50,51.1,8,6,31,27,26,0,0.0,0.0,0,349.84,0,0,0,0,0,0,0
Jalen Reagor,PHI,WR,130,136.9,52,54.5,9,6,17,19,17,0,0.0,0.0,0,373.02,0,0,0,0,0,0,0
Justin Jefferson,MIN,WR,135,142.7,56,57.0,9,6,23,18,24,0,0.0,0.0,0,390.88,0,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,150,155.5,57,60.0,9,7,6,10,8,0,0.0,0.0,0,418.0,0,0,0,0,0,0,0
Michael Pittman,IND,WR,162,166.4,64,63.4,10,7,12,23,1,0,0.0,0.0,0,452.01,0,0,0,0,0,0,0
Laviska Shenault,JAC,WR,180,190.9,68,70.6,10,7,10,9,22,0,0.0,0.0,0,502.55,0,0,0,0,0,0,0
Denzel Mims,NYJ,WR,202,200.0,75,73.3,11,7,25,26,20,0,0.0,0.0,0,545.82,0,0,0,0,0,0,0
Tee Higgins,CIN,WR,217,223.7,78,81.2,11,8,27,24,25,0,0.0,0.0,0,594.37,0,0,0,0,0,0,0
Bryan Edwards,LV,WR,209,198.8,80,73.7,11,8,31,27,26,0,0.0,0.0,0,558.84,0,0,0,0,0,0,0
Chase Claypool,PIT,WR,247,244.4,86,88.4,12,8,26,30,7,0,0.0,0.0,0,657.68,0,0,0,0,0,0,0
