name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Alshon Jeffery,PHI,WR,183,193.1,73,72.0,10,7,17,19,17,59.,79.2,7.9,10,515.23,73,43,490,4,1,2,1
Brandin Cooks,HOU,WR,81,83.0,36,36.8,7,5,21,28,6,60.,75.5,5.4,14,241.35,72,42,583,2,6,52,0
Anthony Miller,CHI,WR,100,104.2,43,45.0,8,6,14,5,32,61.,75.5,4.7,16,294.21,85,52,656,2,1,-1,0
Danny Amendola,DET,WR,210,216.9,77,79.2,11,8,13,21,4,62.,73.8,4.9,15,575.08,97,62,678,1,0,0,0
Corey Davis,TEN,WR,184,192.5,70,70.7,10,7,16,22,9,63.,72.1,4.8,15,511.29,69,43,601,2,0,0,0
Phillip Dorsett,SEA,WR,280,270.6,95,96.3,12,8,3,8,3,64.,71.8,6.5,11,724.52,54,29,397,5,3,21,0
JuJu Smith-Schuster,PIT,WR,28,29.3,10,11.9,4,3,26,30,7,65.,71.2,5.9,12,88.06,70,42,552,3,0,0,0
Steven Sims,WAS,WR,189,195.4,71,72.3,10,7,9,12,11,66.,69.5,5.3,13,519.6,56,34,310,4,9,85,1
Demarcus Robinson,KC,WR,292,281.7,98,99.9,12,8,29,16,30,67.,68.9,4.6,15,758.91,55,32,449,4,0,0,0
Allen Lazard,GB,WR,139,147.6,54,57.9,9,6,15,17,16,68.,67.8,6.2,11,396.39,52,35,477,3,1,21,0
John Ross,CIN,WR,208,217.2,76,78.9,11,8,27,24,25,69.,67.0,8.4,8,575.56,56,28,506,3,3,4,0
Kendrick Bourne,SF,WR,270,254.4,94,90.2,12,8,6,10,8,70.,65.8,4.4,15,693.6,44,30,358,5,0,0,0
Mohamed Sanu,FA,WR,264,223.9,96,83.5,12,8,32,32,32,71.,65.1,4.3,15,660.63,89,59,520,2,3,11,0
Willie Snead,BAL,WR,299,283.4,101,101.7,13,8,30,25,23,72.,64.1,4.0,16,772.92,46,31,339,5,2,2,0
Auden Tate,CIN,WR,276,263.2,93,94.2,12,8,27,24,25,73.,61.5,5.1,12,715.49,80,40,575,1,0,0,0
Taylor Gabriel,FA,WR,420,284.4,144,107.5,15,10,32,32,32,74.,61.3,6.8,9,939.45,48,29,353,4,3,20,0
Preston Williams,MIA,WR,105,111.5,47,47.2,8,6,28,31,10,75.,58.8,7.4,8,315.11,60,32,428,3,0,0,0
Marquez Valdes-Scantling,GB,WR,263,253.8,89,91.5,12,8,15,17,16,76.,58.1,3.9,15,685.0,56,26,452,2,2,9,0
Tajae Sharpe,MIN,WR,376,317.7,120,115.3,14,10,23,18,24,77.,56.9,4.4,13,910.81,35,25,329,4,0,0,0
Ted Ginn,CHI,WR,330,303.5,108,107.0,13,9,14,5,32,78.,55.9,3.7,15,830.3,56,30,421,2,3,18,0
Keelan Cole,JAC,WR,354,318.5,112,112.8,14,9,10,9,22,79.,54.7,4.6,12,876.66,35,24,361,3,1,6,0
Tre'Quan Smith,NO,WR,248,242.8,83,87.1,12,8,7,6,18,80.,53.4,5.3,10,648.52,25,18,234,5,0,0,0
Nelson Agholor,LV,WR,296,279.5,100,100.2,12,8,31,27,26,81.,53.0,4.8,11,763.28,69,39,363,3,2,7,0
Alex Erickson,CIN,WR,494,380.1,149,135.6,16,11,27,24,25,82.,52.2,3.5,15,1132.83,78,43,529,0,5,33,0
Allen Hurns,MIA,WR,500,500,500,500,0,0,28,31,10,83.,51.6,3.7,14,10000.0,47,32,416,2,0,0,0
Russell Gage,ATL,WR,224,227.7,81,82.6,11,8,1,1,21,84.,49.8,3.6,14,602.82,74,49,446,1,4,12,0
Adam Humphries,TEN,WR,251,243.5,88,88.0,12,8,16,22,9,85.,49.5,4.1,12,659.77,47,37,374,2,1,1,0
Demaryius Thomas,FA,WR,427,304.0,145,114.8,15,10,32,32,32,86.,49.3,4.5,11,972.61,58,36,433,1,0,0,0
Josh Gordon,SEA,WR,364,293.7,118,106.6,14,10,3,8,3,87.,48.7,4.4,11,861.7,47,27,426,1,1,1,0
Olabisi Johnson,MIN,WR,327,264.6,109,95.0,13,9,23,18,24,88.,48.0,3.7,13,782.18,45,31,294,3,1,6,0
Albert Wilson,MIA,WR,500,500,500,500,0,0,28,31,10,89.,45.6,3.5,13,10000.0,62,43,351,1,5,45,0
David Moore,SEA,WR,311,295.2,104,104.7,13,9,3,8,3,90.,42.6,3.3,13,795.77,34,17,301,2,3,25,0
Cody Latimer,FA,WR,500,500,182,138.2,0,11,32,32,32,91.,42.0,3.2,13,10000.0,42,24,300,2,0,0,0
Josh Reynolds,LAR,WR,240,241.5,84,87.3,11,8,19,14,28,92.,40.9,2.7,15,642.72,43,21,326,1,5,23,0
Damiere Byrd,NE,WR,387,322.7,126,114.0,14,10,20,13,29,93.,39.9,3.6,11,929.76,46,32,359,1,0,0,0
Marcus Johnson,IND,WR,500,500,184,150.7,0,11,12,23,1,94.,39.7,5.0,8,10000.0,33,17,277,2,0,0,0
Geronimo Allison,GB,WR,500,500,500,500,0,0,15,17,16,95.,39.4,2.6,15,10000.0,55,34,287,2,1,7,0
Seth Roberts,CAR,WR,438,339.4,143,133.8,15,10,4,2,14,96.,39.1,2.8,14,1026.19,35,21,271,2,0,0,0
Miles Boykin,BAL,WR,233,231.7,82,84.2,11,8,30,25,23,97.,37.8,3.2,12,624.53,22,13,198,3,0,0,0
Kelvin Harmon,WAS,WR,500,500,500,500,0,0,9,12,11,98.,36.5,2.8,13,10000.0,44,30,365,0,0,0,0
Paul Richardson,SEA,WR,428,329.3,140,125.5,15,10,3,8,3,99.,36.5,3.7,10,996.12,42,28,245,2,1,0,0
Isaiah McKenzie,BUF,WR,476,366.2,155,143.6,15,11,22,11,31,100.,36.3,3.0,12,1113.68,39,27,254,1,8,49,0
Jakobi Meyers,NE,WR,302,284.1,103,101.0,13,8,20,13,29,101.,35.9,3.3,11,775.29,41,26,359,0,0,0,0
DaeSean Hamilton,DEN,WR,315,296.7,105,105.8,13,9,32,32,19,102.,35.7,3.0,12,809.88,52,28,297,1,0,0,0
Tavon Austin,DAL,WR,500,500,500,500,0,0,5,3,13,103.,34.4,2.6,13,10000.0,24,13,177,1,6,47,1
Marvin Hall,DET,WR,461,363.5,148,137.8,15,11,13,21,4,104.,32.8,4.7,7,1082.57,11,7,261,1,1,7,0
Jaron Brown,FA,WR,500,500,225,158.0,0,12,32,32,32,105.,32.0,4.0,8,10000.0,28,16,220,2,0,0,0
Greg Ward,PHI,WR,316,280.5,106,100.1,13,9,17,19,17,106.,31.9,5.3,6,787.41,40,28,254,1,1,5,0
Vyncint Smith,NYJ,WR,520,374.7,167,149.3,16,11,25,26,20,107.,31.7,2.4,13,1182.04,31,17,225,0,3,52,1
Keke Coutee,HOU,WR,333,309.3,107,111.3,13,9,21,28,6,108.,30.8,3.9,8,843.46,36,22,254,0,2,14,1
Pharoh Cooper,CAR,WR,497,365.0,165,154.8,16,11,4,2,14,109.,30.5,2.8,11,1149.31,33,25,243,1,1,2,0
Malik Turner,GB,WR,500,500,230,177.3,0,13,15,17,16,110.,30.5,3.1,10,10000.0,22,15,245,1,0,0,0
Chester Rogers,FA,WR,470,340.0,177,140.1,15,11,32,32,32,111.,29.7,3.3,9,1103.04,28,16,179,2,1,18,0
Jarius Wright,CAR,WR,500,500,500,500,0,0,4,2,14,112.,28.9,1.8,16,10000.0,58,28,296,0,1,-7,0
DeSean Jackson,PHI,WR,148,150.4,58,58.8,9,7,17,19,17,113.,27.9,9.3,3,413.68,10,9,159,2,0,0,0
Jake Kumerow,GB,WR,405,334.5,127,117.3,14,10,15,17,16,114.,27.9,2.5,11,960.97,21,12,219,1,0,0,0
Justin Watson,TB,WR,371,328.6,114,113.4,14,9,2,4,5,115.,27.9,4.7,6,902.97,26,15,159,2,0,0,0
Scotty Miller,TB,WR,500,500,500,500,0,0,2,4,5,116.,27.6,3.1,9,10000.0,26,13,200,1,2,16,0
N'Keal Harry,NE,WR,140,147.9,55,58.0,9,6,20,13,29,117.,27.4,3.9,7,399.85,24,12,105,2,5,49,0
Andy Isabella,ARI,WR,259,251.5,87,90.0,12,8,11,7,27,118.,26.4,2.9,9,674.74,13,9,189,1,4,15,0
Marquise Goodwin,SF,WR,500,500,500,500,0,0,6,10,8,119.,26.1,3.3,8,10000.0,21,12,186,1,1,15,0
Damion Ratley,CLE,WR,528,377.5,160,145.8,16,11,24,29,12,120.,26.0,2.9,9,1182.08,24,12,200,1,0,0,0
Isaiah Ford,MIA,WR,378,301.3,125,108.0,14,10,28,31,10,121.,25.5,3.2,8,896.13,35,23,244,0,1,11,0
Javon Wims,CHI,WR,421,347.8,131,121.7,15,10,14,5,32,122.,24.6,2.2,11,997.5,39,18,186,1,0,0,0
Laquon Treadwell,ATL,WR,434,353.7,141,128.2,15,10,1,1,21,123.,24.4,2.7,9,1028.04,16,9,184,1,0,0,0
Trey Quinn,WAS,WR,398,318.5,128,117.0,14,10,9,12,11,124.,23.8,2.0,12,938.36,47,26,198,1,0,0,0
KeeSean Johnson,ARI,WR,390,337.9,122,123.1,14,10,11,7,27,125.,23.0,2.3,10,949.76,42,21,187,1,1,3,0
Byron Pringle,KC,WR,500,500,147,145.4,0,11,29,16,30,126.,23.0,3.8,6,10000.0,16,12,170,1,0,0,0
JJ Arcega-Whiteside,PHI,WR,271,264.2,90,94.0,12,8,17,19,17,127.,22.9,2.9,8,706.28,22,10,169,1,0,0,0
Dante Pettis,SF,WR,357,314.8,111,112.1,14,9,6,10,8,128.,22.9,2.5,9,873.43,24,11,109,2,0,0,0
Duke Williams,BUF,WR,486,311.0,180,151.7,16,11,22,11,31,129.,22.6,5.7,4,1103.14,19,12,166,1,0,0,0
Zay Jones,LV,WR,393,331.5,124,123.1,14,10,31,27,26,130.,21.9,1.6,14,953.18,45,27,216,0,1,3,0
Tim Patrick,DEN,WR,414,317.9,135,118.8,15,10,32,32,19,131.,21.8,3.1,7,967.76,31,16,218,0,0,0,0
Bennie Fowler,NYG,WR,500,500,500,500,0,0,8,15,2,132.,21.3,2.7,8,10000.0,36,23,193,0,1,20,0
Jakeem Grant,MIA,WR,352,294.0,115,105.8,14,9,28,31,10,133.,20.9,2.3,9,851.96,33,19,164,0,4,5,1
Kalif Raymond,TEN,WR,432,346.8,138,125.8,15,10,16,22,9,134.,20.5,2.9,7,1018.02,12,9,170,1,1,-5,0
Trevor Davis,GB,WR,500,500,500,500,0,0,15,17,16,135.,20.4,2.9,7,10000.0,11,8,111,0,4,73,1
Richie James,SF,WR,500,500,189,151.2,0,12,6,10,8,136.,20.4,2.9,7,10000.0,10,6,165,1,2,-1,0
Parris Campbell,IND,WR,158,165.1,62,63.0,9,7,12,23,1,137.,20.1,2.9,7,443.75,24,18,127,1,4,34,0
Justin Hardy,FA,WR,500,500,215,140.5,0,12,32,32,32,138.,19.5,1.8,11,10000.0,26,19,195,0,0,0,0
Cordarrelle Patterson,CHI,WR,377,316.0,117,113.8,14,10,14,5,32,139.,18.6,1.6,12,903.73,17,11,83,0,17,103,0
Dontrelle Inman,WAS,WR,409,292.0,137,114.1,14,10,9,12,11,140.,18.1,2.6,7,929.43,21,12,181,0,0,0,0
Olamide Zaccheaus,ATL,WR,503,354.3,171,152.0,16,11,1,1,21,141.,17.5,5.8,3,1147.17,5,3,115,1,0,0,0
Devin Smith,FA,WR,467,349.8,164,138.6,15,11,32,32,32,142.,17.3,5.8,3,1095.73,9,5,113,1,0,0,0
DeAndre Carter,HOU,WR,500,500,212,171.8,0,12,21,28,6,143.,14.2,2.4,6,10000.0,14,11,162,0,0,0,0
Keelan Doss,LV,WR,500,500,196,170.8,0,12,31,27,26,144.,13.3,2.2,6,10000.0,14,11,133,0,0,0,0
Rico Gafford,LV,WR,500,500,500,500,0,0,31,27,26,145.,12.6,6.3,2,10000.0,2,2,66,1,0,0,0
Mack Hollins,MIA,WR,451,323.0,163,135.4,15,11,28,31,10,146.,12.5,1.6,8,1050.13,23,10,125,0,0,0,0
Deon Cain,PIT,WR,500,500,170,161.4,0,11,26,30,7,147.,12.4,1.1,11,10000.0,20,9,124,0,0,0,0
Antonio Brown,FA,WR,365,285.9,119,105.1,14,10,32,32,32,148.,12.1,12.1,1,861.65,8,4,56,1,1,5,0
Rashard Higgins,CLE,WR,385,336.1,121,116.8,14,10,24,29,12,149.,11.5,1.9,6,939.46,11,4,55,1,0,0,0
Brandon Zylstra,CAR,WR,500,500,234,181.3,0,13,4,2,14,150.,10.6,2.7,4,10000.0,12,8,106,0,0,0,0
TJ Jones,NYG,WR,500,500,500,500,0,0,8,15,2,151.,9.8,9.8,1,10000.0,4,3,38,1,0,0,0
Marcell Ateman,LV,WR,500,500,239,191.0,0,13,31,27,26,152.,9.6,2.4,4,10000.0,10,5,116,0,0,0,0
JJ Nelson,LV,WR,500,500,500,500,0,0,31,27,26,153.,9.6,9.6,1,10000.0,5,4,36,1,0,0,0
